"","STUDENT__C","ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","SCHOOL__C","ACTUAL_END_DATE__C","STARTINGGRADE__C","ENDINGGRADE__C","LIVING_ON_CAMPUS__C","DATE_LAST_VERIFIED__C","HIGHEST_SAT_SCORE__C","SOURCE__C","NOTES__C","PURSUING_DEGREE_TYPE__C","START_DATE__C","STATUS__C","TRANSFER_REASON__C","TYPE__C","MAJOR_AREA__C","STUDENT_HS_COHORT__C","NUMBER_OF_MARKING_PERIODS__C","ANTICIPATED_GRADUATION__C","FINAL_GPA__C","GRAD_YEAR__C","MAJOR__C","COLLEGE_MAJOR_DECLARED__C","OTHER_MAJOR__C","NSC_VERIFIED__C","DUAL_ENROLLMENT__C","CLASS_RANK_PERCENTILE__C","Enrollment.SCHOOL__C","School.Name","Type","ADJUSTED_6_YEAR_GRADUATION_RATE__C","COMPETITIVENESS_RANKING__C","COMPETITIVENESS_INDEX__C","student_id","local_student_id"
"11","00380000010UhmfAAC","a0880000008xTXUAA2",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:28.000Z","005C0000003CMzbIAG","2012-12-19T15:38:28.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",1310,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2350,2013005
"12","00380000010UhmfAAC","a08C000000U4stYIAR",FALSE,NA,"2014-04-28T19:18:07.000Z","005C0000003sZiUIAU","2015-04-14T19:48:07.000Z","005C0000005imTgIAI","2015-04-14T19:48:07.000Z","","","","0018000000Y9pLLAAZ","3/20/2015",NA,NA,FALSE,"4/14/2015",1310,"Salesforce","MA was not able to pay for spring quarter. She needed a cosigner for a loan and did not have one. Her plan is to enroll at PCC and take two summer courses.","Bachelor's (4-year)","9/1/2014","Withdrawn","Financial","College","",2014,3,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9pLLAAZ","University of California-Riverside","Public 4 yr",66.2,"Competitive",-0.41,2350,2013005
"13","00380000010UhmgAAC","a08C000000DlVRHIA3",FALSE,NA,"2012-02-09T00:22:58.000Z","005C0000003CDalIAG","2012-12-19T16:05:23.000Z","005C0000003CMzbIAG","2012-12-19T16:05:23.000Z","","","","0018000000kxhlwAAA","6/29/2012",10,NA,FALSE,"2/8/2012",0,"Salesforce","","High School Diploma","1/31/2012","Transferred out","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2304,2013149
"14","00380000010UhmgAAC","a08C000000HTNYDIA5",FALSE,NA,"2012-09-11T00:07:29.000Z","005C0000003sZiUIAU","2013-03-25T18:08:53.000Z","005C0000003CMzbIAG","2013-03-25T18:08:53.000Z","","","","0018000000kxhm2AAA","1/8/2013",NA,NA,FALSE,"9/10/2012",0,"Salesforce","","High School Diploma","8/14/2012","Transferred out","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2304,2013149
"15","00380000010UhmgAAC","a0880000008xTXVAA2",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:28.000Z","005C0000003CMzbIAG","2012-12-19T15:38:28.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",0,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2304,2013149
"16","00380000010UhmgAAC","a08C000000KvFfOIAV",FALSE,NA,"2013-03-25T17:34:02.000Z","005C0000003sZiUIAU","2014-09-05T17:31:27.000Z","005C0000006wSJzIAM","2014-09-05T17:31:27.000Z","","","","001C000000z0UDlIAM","6/30/2014",NA,NA,FALSE,"9/5/2014",0,"Salesforce","","High School Diploma","1/9/2013","Graduated","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2304,2013149
"17","00380000010UhmgAAC","a08C000000Ublk5IAB",FALSE,NA,"2014-06-06T16:39:56.000Z","005C0000003sZiUIAU","2014-09-17T22:23:37.000Z","005C0000006wSJzIAM","2014-09-17T22:23:37.000Z","","","","0018000000Y9p9eAAB","",NA,NA,FALSE,"9/17/2014",0,"Salesforce","","Associate's (2 year)","6/6/2014","Attending","","College","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9p9eAAB","Santa Monica College","Public 2 yr",38.4,"2 year (Noncompetiti",0,2304,2013149
"18","00380000010UhmgAAC","a0880000008zQWoAAM",FALSE,NA,"2010-09-26T06:48:12.000Z","00580000003U38wAAC","2012-12-19T15:43:53.000Z","005C0000003CMzbIAG","2012-12-19T15:43:53.000Z","","","","0018000000kxhm2AAA","1/30/2012",9,10,FALSE,"",0,"Salesforce","","High School Diploma","9/26/2010","Transferred out","Other","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2304,2013149
"19","00380000010UhmhAAC","a08C000000U3f7cIAB",FALSE,NA,"2014-04-21T21:29:22.000Z","005C0000003sZiUIAU","2014-08-15T22:45:08.000Z","005C0000003teDhIAI","2014-08-15T22:45:08.000Z","","","","0018000000Y9pP2AAJ","",NA,NA,FALSE,"8/15/2014",1620,"Salesforce","","Bachelor's (4-year)","9/1/2014","Attending","","College","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9pP2AAJ","University of San Diego","Private 4 yr",75,"Highly Competitive",0.74,2362,2013245
"20","00380000010UhmhAAC","a0880000008xTXWAA2",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:28.000Z","005C0000003CMzbIAG","2012-12-19T15:38:28.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",1620,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2362,2013245
"21","00380000010UhmhAAC","a0880000008yfw7AAA",FALSE,NA,"2010-09-14T20:30:42.000Z","00580000003U34WAAS","2014-08-28T22:04:07.000Z","005C0000003teDhIAI","2014-08-28T22:04:07.000Z","","","","0018000000Zgrc8AAB","6/30/2014",9,NA,FALSE,"8/28/2014",1620,"Salesforce","","High School Diploma","9/1/2010","Graduated","","High School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2362,2013245
"22","00380000010UhmiAAC","a08C000000U5heXIAR",FALSE,NA,"2014-05-02T01:12:21.000Z","005C0000003sZiUIAU","2014-09-10T21:47:14.000Z","005C0000005imTgIAI","2014-09-10T21:47:14.000Z","","","","0018000000Y9p8vAAB","",NA,NA,FALSE,"9/8/2014",1380,"Salesforce","Confirmed through FB.","Bachelor's (4-year)","9/1/2014","Attending","","College","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9p8vAAB","San Francisco State University","Public 4 yr",45.5,"Competitive",-0.76,2327,2013407
"23","00380000010UhmiAAC","a0880000008xTXXAA2",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:28.000Z","005C0000003CMzbIAG","2012-12-19T15:38:28.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",1380,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2327,2013407
"24","00380000010UhmiAAC","a08C000000DoIBZIA3",FALSE,NA,"2012-07-25T18:41:59.000Z","005C0000003sZiUIAU","2014-09-08T22:19:28.000Z","005C0000003teDhIAI","2014-09-08T22:19:28.000Z","","","","0018000000etWaaAAE","6/30/2014",NA,NA,FALSE,"9/8/2014",1380,"Salesforce","","High School Diploma","8/13/2012","Graduated","","High School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2327,2013407
"25","00380000010UhmiAAC","a0880000008yfw8AAA",FALSE,NA,"2010-09-14T20:30:42.000Z","00580000003U34WAAS","2012-12-19T15:43:22.000Z","005C0000003CMzbIAG","2012-12-19T15:43:22.000Z","","","","0018000000kxhmWAAQ","6/29/2012",9,NA,FALSE,"",1380,"Salesforce","","High School Diploma","9/1/2010","Transferred out","Relocation","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2327,2013407
"26","00380000010UhmjAAC","a0880000008xTXYAA2",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:28.000Z","005C0000003CMzbIAG","2012-12-19T15:38:28.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",1680,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2269,2013144
"27","00380000010UhmjAAC","a08C000000U5h9nIAB",FALSE,NA,"2014-05-01T22:09:52.000Z","005C0000003sZiUIAU","2014-08-18T23:03:36.000Z","005C0000003teDhIAI","2014-08-18T23:03:36.000Z","","","","0018000000Y9oJrAAJ","",NA,NA,FALSE,"8/18/2014",1680,"Salesforce","","Bachelor's (4-year)","9/1/2014","Attending","","College","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9oJrAAJ","Bradley University","Private 4 yr",75.6,"Very Competitive",0.23,2269,2013144
"28","00380000010UhmjAAC","a0880000008yfw9AAA",FALSE,NA,"2010-09-14T20:30:42.000Z","00580000003U34WAAS","2014-08-28T22:04:45.000Z","005C0000003teDhIAI","2014-08-28T22:04:45.000Z","","","","0018000000kxhmFAAQ","6/30/2014",9,NA,FALSE,"8/28/2014",1680,"Salesforce","","High School Diploma","9/1/2010","Graduated","","High School","",2014,1,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2269,2013144
"29","00380000010UhmkAAC","a08C000000N1jy1IAB",FALSE,NA,"2013-06-21T23:25:37.000Z","005C0000003sZiUIAU","2014-08-07T20:59:15.000Z","005C0000006wSJzIAM","2014-08-07T20:59:15.000Z","","","","001C0000016NpU0IAK","6/30/2014",NA,NA,FALSE,"8/7/2014",1290,"Salesforce","","High School Diploma","8/14/2012","Graduated","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2340,2013007
"30","00380000010UhmkAAC","a08C000000DlT21IAF",FALSE,NA,"2012-02-06T17:49:53.000Z","005C0000003sZiUIAU","2013-06-22T00:10:20.000Z","005C0000003CMzbIAG","2013-06-22T00:10:20.000Z","","","","001C000000wZFymIAG","6/27/2012",NA,NA,FALSE,"2/6/2012",1290,"Salesforce","","High School Diploma","9/1/2010","Transferred out","","High School","",2014,4,"",3.23,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2340,2013007
"31","00380000010UhmkAAC","a08C000000U5T38IAF",FALSE,NA,"2014-05-01T04:04:21.000Z","005C0000003sZiUIAU","2015-01-07T17:25:59.000Z","005C0000006wSJzIAM","2015-01-07T17:25:59.000Z","","","","0018000000Y9oLoAAJ","",NA,NA,FALSE,"1/6/2015",1290,"Salesforce","","Bachelor's (4-year)","9/1/2014","Attending","","College","",2014,3,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9oLoAAJ","California State University-Los Angeles","Public 4 yr",35.7,"Competitive",-1.83,2340,2013007
"32","00380000010UhmkAAC","a0880000008xTXZAA2",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:28.000Z","005C0000003CMzbIAG","2012-12-19T15:38:28.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",1290,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2340,2013007
"33","00380000010UhmlAAC","a0880000008xTXaAAM",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:28.000Z","005C0000003CMzbIAG","2012-12-19T15:38:28.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",1350,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2372,2013141
"34","00380000010UhmlAAC","a08C000000N1jxmIAB",FALSE,NA,"2013-06-21T23:23:53.000Z","005C0000003sZiUIAU","2014-08-28T22:06:31.000Z","005C0000003teDhIAI","2014-08-28T22:06:31.000Z","","","","001C0000016NpU0IAK","6/30/2014",NA,NA,FALSE,"8/28/2014",1350,"Salesforce","","High School Diploma","8/14/2012","Graduated","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2372,2013141
"35","00380000010UhmlAAC","a08C000000DlT1wIAF",FALSE,NA,"2012-02-06T17:47:17.000Z","005C0000003sZiUIAU","2013-06-22T00:10:21.000Z","005C0000003CMzbIAG","2013-06-22T00:10:21.000Z","","","","001C000000wZFymIAG","6/27/2010",NA,NA,FALSE,"2/6/2012",1350,"Salesforce","","High School Diploma","9/1/2010","Transferred out","","High School","",2014,4,"",3.64,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2372,2013141
"36","00380000010UhmlAAC","a08C000000U5hnPIAR",FALSE,NA,"2014-05-02T02:04:40.000Z","005C0000003sZiUIAU","2014-08-28T22:06:48.000Z","005C0000003teDhIAI","2014-08-28T22:06:48.000Z","","","","0018000000Y9pLGAAZ","",NA,NA,FALSE,"8/28/2014",1350,"Salesforce","","Bachelor's (4-year)","5/1/2014","Attending","","College","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9pLGAAZ","University of California-Berkeley","Public 4 yr",91,"Most Competitive+",1.84,2372,2013141
"37","00380000010UhmmAAC","a0880000008xTXbAAM",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:37.000Z","005C0000003CMzbIAG","2012-12-19T15:38:37.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",0,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2398,2013203
"38","00380000010UhmmAAC","a08C000000N1islIAB",FALSE,NA,"2013-06-21T17:52:03.000Z","005C0000003sZiUIAU","2013-06-21T17:52:03.000Z","005C0000003sZiUIAU","2013-06-21T17:52:03.000Z","","","","0018000000kxhm2AAA","11/19/2010",NA,NA,FALSE,"6/21/2013",0,"Salesforce","","High School Diploma","8/30/2010","Transferred out","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2398,2013203
"39","00380000010UhmmAAC","a08C000000N1it0IAB",FALSE,NA,"2013-06-21T17:52:39.000Z","005C0000003sZiUIAU","2014-08-12T00:00:53.000Z","005C0000006wSJzIAM","2014-08-12T00:00:53.000Z","","","","001C000000q3VayIAE","6/30/2014",NA,NA,FALSE,"7/22/2014",0,"Salesforce","","High School Diploma","11/22/2010","Graduated","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2398,2013203
"40","00380000010UhmmAAC","a08C000000U5SbaIAF",FALSE,NA,"2014-05-01T01:40:19.000Z","005C0000003sZiUIAU","2014-07-23T16:53:15.000Z","005C0000006wSJzIAM","2014-07-23T16:53:15.000Z","","","","0018000000Y9pLPAAZ","",NA,NA,FALSE,"7/22/2014",0,"Salesforce","","Bachelor's (4-year)","9/1/2014","Attending","","College","",2014,3,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9pLPAAZ","University of California-Santa Cruz","Public 4 yr",72.7,"Very Competitive",0.31,2398,2013203
"41","00380000010UhmnAAC","a0880000008xTXcAAM",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:37.000Z","005C0000003CMzbIAG","2012-12-19T15:38:37.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",1620,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2320,2013161
"42","00380000010UhmnAAC","a0880000008yfwDAAQ",FALSE,NA,"2010-09-14T20:30:42.000Z","00580000003U34WAAS","2014-08-07T20:32:17.000Z","005C0000006wSJzIAM","2014-08-07T20:32:17.000Z","","","","0018000000lVA6uAAG","6/30/2014",9,NA,FALSE,"",1620,"Salesforce","","High School Diploma","9/1/2010","Graduated","","High School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2320,2013161
"43","00380000010UhmnAAC","a08C000000U4tWFIAZ",FALSE,NA,"2014-04-28T20:48:28.000Z","005C0000003sZiUIAU","2014-08-11T19:01:18.000Z","005C0000006wSJzIAM","2014-08-11T19:01:18.000Z","","2015-09-17T18:43:27.000Z","2015-09-17T18:43:27.000Z","0018000000Y9p6TAAR","",NA,NA,FALSE,"8/7/2014",1620,"Salesforce","","Associate's (2 year)","9/1/2014","Attending","","College","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9p6TAAR","Rio Hondo College","Public 2 yr",22.5,"2 year (Noncompetiti",0,2320,2013161
"44","00380000010UhmoAAC","a08C000000TRREnIAP",FALSE,NA,"2014-03-28T18:18:03.000Z","005C0000003sZiUIAU","2014-08-11T23:05:13.000Z","005C0000006wSJzIAM","2014-08-11T23:05:13.000Z","","","","001C000001DBsSsIAL","6/30/2014",NA,NA,FALSE,"8/11/2014",0,"Salesforce","","High School Diploma","1/1/2014","Graduated","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2270,2013395
"45","00380000010UhmoAAC","a0880000008xTXdAAM",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:37.000Z","005C0000003CMzbIAG","2012-12-19T15:38:37.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",0,"","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2270,2013395
"46","00380000010UhmoAAC","a08C000000VhhjhIAB",FALSE,NA,"2014-08-11T23:04:47.000Z","005C0000006wSJzIAM","2014-12-17T18:36:35.000Z","005C0000006wSJzIAM","2014-12-17T18:36:35.000Z","","","","0018000000Y9ooCAAR","",NA,NA,FALSE,"12/11/2014",0,"Salesforce","","Associate's (2 year)","9/1/2014","Attending","","College","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9ooCAAR","Los Angeles Trade Technical College","Public 2 yr",23.5,"2 year (Noncompetiti",0,2270,2013395
"47","00380000010UhmoAAC","a08C000000N1jy2IAB",FALSE,NA,"2013-06-21T23:26:55.000Z","005C0000003sZiUIAU","2014-03-28T18:17:01.000Z","005C0000003sZiUIAU","2014-03-28T18:17:01.000Z","","","","001C0000016NpU0IAK","12/31/2013",NA,NA,FALSE,"6/21/2013",0,"Salesforce","","High School Diploma","8/14/2012","Transferred out","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2270,2013395
"48","00380000010UhmoAAC","a08C000000HSzmnIAD",FALSE,NA,"2012-08-08T01:34:26.000Z","005C0000003sZiUIAU","2013-10-25T21:21:06.000Z","005C0000003CMzbIAG","2013-10-25T21:21:06.000Z","","","","001C000000wZFymIAG","6/27/2012",NA,NA,FALSE,"8/7/2012",0,"Salesforce","","High School Diploma","4/30/2012","Transferred out","","High School","",2014,4,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2270,2013395
"49","00380000010UhmoAAC","a0880000008yfwEAAQ",FALSE,NA,"2010-09-14T20:30:42.000Z","00580000003U34WAAS","2013-10-25T21:21:06.000Z","005C0000003CMzbIAG","2013-10-25T21:21:06.000Z","","","","0018000000kxhm2AAA","4/10/2012",9,NA,FALSE,"",0,"Salesforce","","High School Diploma","8/30/2010","Transferred out","Relocation","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2270,2013395
