"year","student_id","present","excusedabsent","excusedtardy","absent","tardy","truant","inschoolsuspension","suspended"
"2013","11793","86","0","0","13","41","14","0","0"
"2014","13548","17","0","0","4","1","0","0","0"
"2012","6474","0","0","0","1","4","0","0","0"
"2013","10523","167","0","0","0","1","0","0","0"
"2016","15292","29","0","0","0","0","0","0","0"
"2016","16754","28","0","0","0","1","0","0","0"
"2015","13328","148","0","0","2","20","0","0","0"
"2015","12869","174","0","0","0","0","0","0","0"
"2016","15043","22","0","0","2","4","0","0","0"
"2013","6493","180","0","0","3","0","0","0","0"
"2016","15633","22","0","0","0","4","1","0","0"
"2014","3265","136","0","0","5","32","1","0","0"
"2015","14904","106","0","0","36","22","5","0","0"
"2012","3160","0","0","0","1","4","0","0","0"
"2012","2728","0","0","0","10","47","0","0","4"
"2012","2565","0","0","0","1","6","0","0","0"
"2013","11054","115","0","0","7","50","2","0","0"
"2016","13844","27","0","0","0","2","0","0","0"
"2013","3309","141","0","0","0","36","0","0","0"
"2015","13753","142","0","0","4","26","1","0","0"
"2016","13825","28","0","0","0","0","0","0","0"
"2013","3214","174","0","0","0","1","0","0","0"
"2015","12397","170","0","0","1","0","0","0","0"
"2016","7156","26","0","0","0","1","0","0","0"
"2014","11236","88","0","0","0","0","0","0","1"
"2014","11107","175","0","0","0","3","0","0","0"
"2016","15803","29","0","0","0","0","0","0","0"
"2014","3293","154","0","0","4","17","0","0","0"
"2015","3410","146","0","0","1","21","3","0","0"
"2015","15246","88","0","0","1","8","0","0","0"
"2016","16854","19","0","0","0","5","0","0","0"
"2013","11357","98","0","0","6","67","4","0","0"
"2014","13192","168","0","0","3","6","0","0","0"
"2016","11679","27","0","0","0","1","2","0","0"
"2013","10806","175","0","0","1","1","0","0","0"
"2016","15273","29","0","0","0","0","0","0","0"
"2015","14429","105","0","0","3","48","14","0","0"
"2014","6423","173","0","0","3","4","0","0","0"
"2012","2947","0","0","0","11","56","0","0","0"
"2013","10930","117","0","0","9","42","9","0","0"
"2012","7048","0","0","0","3","0","0","0","0"
"2016","11885","28","0","0","0","2","0","0","0"
"2013","6737","143","0","1","1","34","0","0","0"
"2013","11298","134","0","0","17","25","0","0","0"
"2014","3506","173","0","0","1","1","0","0","0"
"2016","7160","29","0","0","0","0","0","0","0"
"2016","15973","18","0","0","1","10","0","0","0"
"2016","14221","28","0","0","0","0","0","0","0"
"2016","16843","23","0","0","0","2","0","0","0"
"2015","14573","162","0","0","1","7","0","0","0"
"2016","16893","22","0","0","0","0","0","0","0"
"2015","10855","171","0","0","0","1","1","0","0"
"2013","3348","167","0","0","4","1","1","0","0"
"2014","11887","147","0","0","13","13","1","0","0"
"2013","6979","169","0","0","1","4","0","0","0"
"2013","3094","159","0","0","6","14","1","0","0"
"2016","7177","26","0","0","0","2","0","0","0"
"2015","13790","172","0","0","0","3","0","0","0"
"2015","13049","95","0","0","0","74","1","0","0"
"2015","6491","128","0","0","5","29","0","0","0"
"2015","3359","167","0","0","4","0","0","0","1"
"2015","10903","106","0","0","16","43","8","0","0"
"2016","7092","29","0","0","0","0","0","0","0"
"2013","10655","171","0","0","3","0","0","0","0"
"2016","13512","10","0","1","0","10","1","0","0"
"2016","10178","29","0","0","0","0","0","0","0"
"2015","15113","161","0","0","1","0","1","0","0"
"2013","6532","174","0","0","0","3","0","0","0"
"2016","12832","25","0","0","1","3","0","0","0"
"2015","14577","167","0","0","1","0","1","0","0"
"2016","13838","29","0","0","0","0","0","0","0"
"2013","7089","174","0","0","1","6","0","0","0"
"2015","14588","165","0","0","0","11","0","0","0"
"2014","6511","177","0","0","3","1","1","0","0"
"2012","3334","0","0","0","0","1","0","0","0"
"2015","12047","173","0","0","0","0","0","0","0"
"2015","13654","143","0","0","1","25","0","0","0"
"2016","14418","27","0","0","0","0","0","0","0"
"2014","6890","156","0","1","0","16","1","0","0"
"2016","11284","25","0","0","0","2","0","0","0"
"2015","14242","169","0","0","0","5","0","0","0"
"2016","16604","4","0","0","0","1","0","0","0"
"2016","14628","24","0","0","2","2","0","0","0"
"2015","15031","172","0","0","0","0","0","0","0"
"2015","12712","142","0","0","9","28","0","0","0"
"2014","6739","150","0","0","17","11","2","0","0"
"2014","6429","49","0","2","19","75","29","0","0"
"2016","12822","28","0","0","0","1","0","0","0"
"2014","3376","171","0","0","4","0","0","0","0"
"2016","13850","29","0","0","0","0","0","0","0"
"2012","3440","0","0","0","0","1","0","0","0"
"2015","6630","35","0","0","0","130","3","0","0"
"2014","13302","174","0","0","3","7","0","0","0"
"2015","12545","163","0","0","0","4","0","0","0"
"2014","11195","180","0","0","2","0","0","0","0"
"2016","15098","32","0","0","0","0","0","0","0"
"2016","10396","29","0","0","0","0","0","0","0"
"2016","16186","28","0","0","0","1","0","0","0"
"2016","13675","28","0","0","0","0","0","0","0"
"2013","3509","140","0","0","12","21","2","0","0"
"2016","12865","27","0","0","0","2","0","0","0"
"2012","3215","0","0","0","0","18","0","0","0"
"2012","3958","0","0","0","2","7","0","0","0"
"2014","7027","176","0","0","2","3","1","0","0"
"2015","12767","172","0","0","3","0","0","0","0"
"2015","12441","151","0","0","8","11","0","0","0"
"2016","15172","21","0","0","1","6","2","0","0"
"2014","11980","68","0","0","72","7","31","0","0"
"2012","2960","0","0","0","3","10","0","0","0"
"2016","12602","29","0","0","0","0","0","0","0"
"2012","3397","0","0","0","4","30","0","0","0"
"2012","3470","0","0","0","0","6","0","0","1"
"2015","4569","170","0","0","2","2","0","0","0"
"2016","15224","27","0","0","0","0","0","0","0"
"2014","6946","169","0","0","5","0","1","0","0"
"2015","6343","173","0","0","1","0","0","0","0"
"2015","6423","166","0","0","8","1","0","0","0"
"2015","14230","176","0","0","0","0","0","0","0"
"2014","12596","140","0","0","3","31","1","0","0"
"2012","2384","0","0","0","3","0","0","0","0"
"2012","6387","0","0","0","3","11","0","0","0"
"2014","6579","166","0","0","1","5","1","0","0"
"2015","3454","115","0","0","4","29","9","0","0"
"2014","3446","173","0","0","1","1","0","0","0"
"2015","12322","124","0","0","1","8","0","0","0"
"2012","2279","0","0","0","0","1","0","0","0"
"2015","12914","161","0","0","0","1","0","0","0"
"2016","15703","25","0","0","0","4","0","0","0"
"2015","6668","165","0","0","1","6","1","0","0"
"2015","10757","14","0","0","0","0","0","0","0"
"2014","11536","131","0","2","5","40","5","0","0"
"2014","3532","158","0","3","7","4","2","0","0"
"2016","11146","29","0","0","0","0","0","0","0"
"2016","16995","3","0","0","0","0","0","0","0"
"2016","13217","29","0","0","0","0","0","0","0"
"2013","3274","176","0","0","1","0","0","0","0"
"2013","2392","161","0","0","2","10","2","0","0"
"2013","3344","171","0","0","4","0","0","0","0"
"2014","11168","175","0","0","0","0","0","0","0"
"2014","11409","166","0","0","9","7","0","0","0"
"2013","10756","166","0","1","5","0","1","0","0"
"2015","14901","140","0","0","12","12","6","0","0"
"2016","15968","26","0","0","0","0","0","0","0"
"2014","11384","145","0","0","10","16","1","0","0"
"2014","11765","137","0","0","8","35","2","0","0"
"2012","2869","0","0","0","3","11","0","0","0"
"2016","16199","26","0","0","0","1","1","0","0"
"2015","12885","137","0","0","4","17","3","0","0"
"2015","3342","148","0","0","6","18","3","0","0"
"2015","7137","155","0","0","2","9","0","0","0"
"2016","13254","18","0","0","2","6","0","0","0"
"2013","11696","165","0","0","17","1","0","0","0"
"2015","12011","159","0","0","12","1","0","0","0"
"2015","14377","165","0","0","2","7","0","0","0"
"2015","12812","175","0","0","0","0","0","0","0"
"2013","11292","175","0","0","4","2","2","0","0"
"2013","3031","170","0","0","6","4","0","0","0"
"2015","14499","157","0","0","0","4","1","0","0"
"2015","11310","174","0","0","0","1","0","0","0"
"2016","14986","29","0","0","0","1","0","0","0"
"2016","14122","13","0","0","1","10","3","0","0"
"2016","14625","26","0","0","1","3","0","0","0"
"2016","15699","29","0","0","0","0","0","0","0"
"2013","12038","53","0","0","5","45","10","0","0"
"2014","13393","174","0","0","1","2","0","0","0"
"2016","13663","29","0","0","0","0","0","0","0"
"2013","11863","127","0","0","9","38","0","0","0"
"2014","11734","153","0","0","9","14","0","0","1"
"2012","3196","0","0","0","0","3","0","0","0"
"2016","12525","26","0","0","3","0","0","0","0"
"2014","11833","111","0","0","31","24","12","0","0"
"2014","13159","131","0","0","13","32","4","0","0"
"2014","13566","82","0","0","3","59","3","1","0"
"2012","3545","0","0","0","1","4","0","0","0"
"2016","13770","15","0","0","6","7","1","0","0"
"2015","10982","166","0","0","4","3","0","0","0"
"2014","11234","174","0","0","0","0","0","0","0"
"2013","12023","13","0","0","2","106","17","0","0"
"2013","10265","163","0","0","10","2","0","0","0"
"2015","13569","129","0","0","1","43","0","0","0"
"2016","10348","28","0","0","0","2","0","0","0"
"2013","6957","177","0","0","3","1","0","0","0"
"2016","16665","28","0","0","0","1","0","0","0"
"2015","3947","151","0","0","4","16","0","0","0"
"2016","12030","20","0","0","0","4","6","0","0"
"2016","15653","29","0","0","0","0","0","0","0"
"2016","6459","29","0","0","0","0","0","0","0"
"2013","3148","161","0","0","9","4","0","0","1"
"2016","14498","13","0","0","1","14","1","0","0"
"2014","3178","144","0","1","1","28","1","0","0"
"2016","12680","29","0","0","0","0","0","0","0"
"2013","6362","170","0","0","0","12","0","0","0"
"2013","6806","171","0","0","4","2","2","0","0"
"2016","16421","22","0","0","3","1","2","0","0"
"2016","15533","28","0","0","0","0","0","0","0"
"2013","11502","174","0","0","1","0","0","0","0"
"2014","11360","169","0","0","4","1","0","0","0"
"2016","13052","27","0","0","0","0","0","0","0"
"2015","15215","47","0","0","15","51","34","0","0"
"2016","7169","19","0","0","3","6","0","0","0"
"2012","7119","0","0","0","0","1","0","0","0"
"2012","3088","0","0","0","0","1","0","0","0"
"2013","2774","164","0","0","2","8","4","0","0"
"2014","13087","178","0","0","1","5","1","0","0"
"2012","3550","0","0","0","0","2","0","0","1"
"2016","12380","30","0","0","0","0","0","0","0"
"2014","7023","155","0","0","3","23","0","0","0"
"2015","6574","144","0","0","10","10","0","0","0"
"2015","12363","131","0","0","8","30","0","0","0"
"2016","12685","23","0","0","1","3","0","0","0"
"2014","12819","164","0","0","5","6","0","0","0"
"2016","13240","25","0","0","0","2","1","0","0"
"2014","11768","108","0","0","9","0","0","0","0"
"2014","10511","103","0","1","23","45","11","0","0"
"2016","16364","13","0","0","1","8","7","0","0"
"2016","11211","29","0","0","0","0","0","0","0"
"2012","6798","0","0","0","5","29","0","0","0"
"2013","3028","161","0","0","6","9","0","0","0"
"2015","14872","58","0","0","0","24","92","0","0"
"2015","3538","168","0","0","5","0","0","0","0"
"2013","10226","177","0","0","0","0","0","0","0"
"2015","12897","173","0","0","1","0","0","0","0"
"2014","6498","179","0","0","3","1","0","0","0"
"2016","15948","24","0","0","0","4","0","0","0"
"2012","6444","0","0","0","13","1","0","0","0"
"2013","11689","96","0","0","32","22","3","0","0"
"2012","6880","0","0","0","1","9","0","0","0"
"2016","15487","27","0","0","1","1","0","0","0"
"2013","2434","170","0","0","1","0","0","0","0"
"2013","3505","167","0","0","6","1","0","0","0"
"2015","12687","170","0","0","1","1","0","0","0"
"2013","6746","148","0","2","7","15","4","0","0"
"2013","3303","152","0","0","7","14","6","1","0"
"2013","11788","45","0","1","1","8","0","0","0"
"2016","10855","28","0","0","0","1","0","0","0"
"2015","14433","159","0","0","1","8","0","0","0"
"2014","11719","148","0","0","13","11","1","0","0"
"2014","12687","175","0","0","0","0","0","0","0"
"2015","15236","91","0","0","2","32","0","0","0"
"2016","14919","29","0","0","0","0","0","0","0"
"2016","11367","29","0","0","0","0","0","0","0"
"2013","11805","70","0","0","3","96","0","0","2"
"2012","3970","0","0","0","2","40","0","0","12"
"2014","12656","183","0","0","0","0","0","0","0"
"2015","14699","148","0","0","1","14","2","0","0"
"2014","12855","180","0","0","0","1","0","0","0"
"2014","6451","154","0","3","3","18","3","0","0"
"2016","15822","28","0","0","0","0","0","0","0"
"2012","7136","0","0","0","0","1","0","0","0"
"2013","10987","181","0","0","0","0","0","0","0"
"2014","3094","154","0","0","1","20","0","0","0"
"2013","7145","174","0","0","1","2","0","0","0"
"2013","3928","167","0","0","2","11","0","0","0"
"2016","6463","25","0","0","0","4","0","0","0"
"2016","14828","27","0","0","0","3","0","0","0"
"2016","11552","29","0","0","0","0","0","0","0"
"2013","6835","182","0","0","0","0","0","0","0"
"2015","6601","178","0","0","0","0","0","0","0"
"2016","13316","30","0","0","0","0","0","0","0"
"2016","16127","29","0","0","0","0","0","0","0"
"2016","11270","27","0","0","0","0","0","0","0"
"2013","10178","167","0","0","1","2","0","0","0"
"2013","6919","171","0","0","0","0","0","0","0"
"2016","6945","19","0","0","5","2","0","0","0"
"2016","13982","29","0","0","0","0","0","0","0"
"2015","6666","170","0","0","1","0","0","0","0"
"2016","11738","10","0","0","4","13","1","0","0"
"2014","6363","180","0","0","2","0","0","0","0"
"2014","11954","128","0","0","6","38","2","0","0"
"2012","3303","2","0","0","0","27","0","0","0"
"2015","6982","163","0","0","1","5","0","0","0"
"2013","6740","166","0","0","3","1","0","0","0"
"2016","11904","20","0","0","0","9","0","0","0"
"2012","3093","0","0","0","3","1","0","0","0"
"2014","12547","42","0","0","4","0","0","0","0"
"2016","13652","28","0","0","0","0","1","0","0"
"2013","3089","149","0","0","20","5","1","0","0"
"2013","4567","172","0","0","1","2","0","0","0"
"2014","6808","168","0","0","2","2","0","0","0"
"2014","12585","142","0","0","4","30","2","0","0"
"2014","6731","86","0","0","15","12","19","0","0"
"2016","16383","27","0","0","0","0","0","0","0"
"2016","12916","14","0","0","0","0","0","0","0"
"2016","13354","13","0","0","2","14","1","0","0"
"2012","7146","0","0","0","3","1","0","0","0"
"2015","3478","165","0","0","4","6","0","0","0"
"2016","6779","21","0","0","0","6","0","0","0"
"2016","12847","28","0","0","1","0","0","0","0"
"2016","14479","27","0","0","0","0","0","0","0"
"2015","13449","163","0","0","1","2","0","0","0"
"2016","16387","14","0","0","1","13","1","0","0"
"2016","15108","26","0","0","0","2","1","0","0"
"2013","6511","176","0","0","4","2","0","0","0"
"2016","16646","19","0","0","2","2","0","0","0"
"2016","14638","29","0","0","0","0","0","0","0"
"2015","6481","148","0","0","2","18","0","0","0"
"2014","13367","174","0","0","0","0","0","0","0"
"2015","13771","163","0","0","1","0","1","0","0"
"2015","15208","134","0","0","7","8","2","0","0"
"2015","14827","75","0","0","18","57","27","0","0"
"2015","14244","138","0","0","7","14","0","0","0"
"2016","13712","27","0","0","1","1","0","0","0"
"2012","6835","0","0","0","2","0","0","0","0"
"2016","6343","28","0","0","0","0","0","0","0"
"2014","13457","138","0","0","10","16","1","0","0"
"2012","6878","0","0","0","4","15","0","0","0"
"2014","13256","171","0","0","6","1","0","0","0"
"2015","6441","166","0","0","3","1","0","0","0"
"2016","13660","29","0","0","0","0","0","0","0"
"2013","11467","145","0","3","11","9","2","0","0"
"2016","14192","29","0","0","0","0","0","0","0"
"2014","6378","182","0","0","1","2","0","0","0"
"2016","15821","29","0","0","0","0","0","0","0"
"2012","6854","0","0","0","20","6","0","0","0"
"2016","14735","28","0","0","0","0","2","0","0"
"2012","6805","0","0","0","5","0","0","0","0"
"2015","14749","43","0","0","7","63","62","2","0"
"2016","12568","28","0","0","0","0","0","0","0"
"2016","12702","29","0","0","0","0","0","0","0"
"2015","13832","142","0","0","16","13","3","0","0"
"2012","3951","1","0","0","0","2","0","0","0"
"2013","3195","160","0","0","5","8","2","0","0"
"2016","16320","14","0","0","5","8","1","0","0"
"2016","13622","27","0","0","0","0","0","0","0"
"2013","11752","161","0","0","3","16","0","0","0"
"2014","3386","73","0","0","4","0","2","0","0"
"2015","14698","167","0","0","8","0","0","0","0"
"2015","10472","148","0","0","8","9","3","0","0"
"2015","14272","169","0","0","0","2","0","0","0"
"2015","13058","148","0","0","6","12","0","0","0"
"2014","7125","169","0","0","1","6","0","0","0"
"2014","10832","91","0","0","23","52","7","0","0"
"2013","3490","166","0","0","8","1","0","0","0"
"2015","14169","125","0","0","33","20","0","0","0"
"2014","3426","170","0","0","0","5","0","0","0"
"2016","10747","27","0","0","1","0","0","0","0"
"2014","12950","172","0","0","4","7","1","0","0"
"2014","13558","143","0","0","1","1","0","0","0"
"2013","3486","128","0","0","5","34","12","0","0"
"2016","12664","26","0","0","0","3","0","0","0"
"2016","16082","28","0","0","0","0","0","0","0"
"2016","16119","29","0","0","0","0","0","0","0"
"2013","6665","161","0","0","3","4","2","0","0"
"2013","11758","129","0","0","5","37","14","0","0"
"2016","13092","27","0","0","0","0","0","0","0"
"2014","3175","166","0","0","8","0","1","0","0"
"2015","13115","79","0","0","3","4","1","0","0"
"2014","12928","175","0","0","6","0","0","0","0"
"2015","6363","144","0","0","5","23","1","0","0"
"2013","11702","114","0","0","15","35","9","0","3"
"2014","13170","8","0","0","0","0","0","0","0"
"2014","3212","174","0","0","0","1","0","0","0"
"2015","12716","174","0","0","1","0","0","0","0"
"2013","6896","155","0","0","1","16","1","0","0"
"2014","6705","137","0","0","3","23","6","0","0"
"2016","15667","28","0","0","0","1","0","0","0"
"2013","6965","184","0","0","0","0","0","0","0"
"2015","13191","154","0","0","1","24","0","0","0"
"2016","14695","22","0","0","0","7","0","0","0"
"2014","12559","178","0","1","0","2","1","0","0"
"2013","10341","175","0","0","5","1","1","0","0"
"2015","12670","169","0","0","2","0","0","0","0"
"2014","13537","135","0","0","2","17","1","0","0"
"2014","12769","31","0","0","5","8","2","0","0"
"2013","6699","179","0","0","0","1","0","0","0"
"2012","2361","0","0","0","1","3","0","0","0"
"2015","13815","136","0","0","5","27","5","0","0"
"2013","11036","173","0","0","0","0","0","0","0"
"2014","13168","173","0","0","2","0","0","0","0"
"2016","13846","29","0","0","0","0","0","0","0"
"2016","12695","29","0","0","0","1","0","0","0"
"2014","10669","155","0","0","0","16","1","0","0"
"2013","6918","165","0","0","2","0","0","0","0"
"2015","13873","146","0","0","7","10","0","0","0"
"2013","10604","172","0","0","8","1","1","0","0"
"2016","13311","27","0","0","1","0","0","0","0"
"2014","12850","82","0","0","35","28","10","0","0"
"2016","12823","28","0","0","0","1","0","0","0"
"2016","15407","29","0","0","0","0","0","0","0"
"2013","11784","174","0","0","1","0","1","0","0"
"2014","12777","154","0","0","18","3","0","0","0"
"2014","3169","174","0","0","1","0","0","0","0"
"2016","16560","25","0","0","1","3","0","0","0"
"2015","15163","68","0","0","1","0","0","0","0"
"2016","16391","29","0","0","0","0","0","0","0"
"2016","15789","28","0","0","0","0","0","0","0"
"2013","6813","176","0","0","1","5","0","0","0"
"2013","11384","162","0","0","4","10","0","0","0"
"2015","13663","163","0","0","1","1","0","0","0"
"2012","3121","0","0","0","3","19","0","0","0"
"2016","13437","28","0","0","1","0","0","0","0"
"2013","6703","160","0","0","4","12","2","0","0"
"2016","13288","27","0","0","0","0","0","0","0"
"2015","12790","144","0","0","2","28","1","0","0"
"2016","6708","20","0","0","0","6","0","0","0"
"2015","14219","161","0","0","1","13","0","0","0"
"2015","6339","117","0","0","21","40","1","0","0"
"2012","6775","0","0","0","2","0","0","0","0"
"2015","14213","159","0","0","0","8","0","0","0"
"2014","13478","156","0","0","1","3","0","0","0"
"2016","13410","28","0","0","0","0","0","0","0"
"2016","15768","28","0","0","0","1","0","0","0"
"2015","14190","149","0","0","3","21","3","0","0"
"2012","3065","0","0","0","0","2","0","0","0"
"2013","6947","179","0","0","0","1","0","0","0"
"2013","11830","169","0","0","4","7","0","0","0"
"2014","12517","168","0","0","2","0","0","0","0"
"2015","6930","143","0","0","7","18","3","0","0"
"2013","3277","172","0","0","8","0","0","0","0"
"2013","6509","180","0","0","1","1","1","0","0"
"2016","16192","29","0","0","0","0","0","0","0"
"2016","15847","24","0","0","5","0","0","0","0"
"2013","2907","175","0","0","0","1","0","0","0"
"2016","10809","22","0","0","0","7","0","0","0"
"2015","3424","144","0","0","12","8","3","0","0"
"2012","2999","0","0","0","0","59","0","0","1"
"2013","7158","183","0","0","0","0","0","0","0"
"2015","12701","141","0","0","10","14","2","0","0"
"2016","14033","28","0","0","0","0","0","0","0"
"2012","2849","0","0","0","3","2","0","0","0"
"2013","11695","72","0","0","9","19","2","0","0"
"2016","10857","29","0","0","0","0","0","0","0"
"2015","12508","171","0","0","0","1","0","0","0"
"2012","2905","0","0","0","2","56","0","0","0"
"2013","11954","121","0","0","7","31","2","0","0"
"2016","12659","29","0","0","0","0","0","0","0"
"2015","14451","151","0","0","2","6","1","0","0"
"2012","6529","0","0","0","13","32","0","0","0"
"2016","13917","29","0","0","0","0","0","0","0"
"2016","15990","27","0","0","0","2","0","0","0"
"2016","16229","27","0","0","1","0","0","0","0"
"2013","11982","111","0","0","4","6","0","0","0"
"2015","6562","175","0","0","0","0","0","0","0"
"2016","12043","29","0","0","0","0","0","0","0"
"2014","12610","152","0","0","16","0","0","0","0"
"2016","12688","29","0","0","0","0","0","0","0"
"2016","15902","20","0","0","0","8","0","0","0"
"2015","13016","166","0","0","2","4","0","0","0"
"2015","10782","160","0","0","4","8","0","0","0"
"2014","12511","175","0","0","0","0","0","0","0"
"2014","12944","174","0","0","0","0","0","0","0"
"2015","12346","161","0","0","1","13","0","0","0"
"2016","12829","27","0","0","0","2","0","0","0"
"2014","13126","182","0","0","1","0","0","0","0"
"2015","13281","156","0","0","3","8","0","0","0"
"2014","13400","175","0","0","0","1","0","0","0"
"2015","7061","42","0","0","8","2","2","0","0"
"2013","11762","157","0","0","17","1","0","0","0"
"2016","15241","27","0","0","1","1","0","0","0"
"2014","13220","179","0","0","3","1","0","0","0"
"2015","13685","165","0","0","3","6","0","0","0"
"2015","6864","170","0","0","4","0","0","0","0"
"2016","13535","28","0","0","1","0","0","0","0"
"2012","3082","0","0","0","2","21","0","0","0"
"2013","6497","180","0","0","3","0","0","0","0"
"2016","16326","30","0","0","0","0","0","0","0"
"2015","14817","116","0","0","8","32","17","0","0"
"2016","14039","20","0","0","0","4","1","0","0"
"2016","10199","27","0","0","0","2","0","0","0"
"2015","7119","171","0","0","2","2","0","0","0"
"2016","11227","28","0","0","0","1","0","0","0"
"2016","16253","29","0","0","0","0","0","0","0"
"2016","11855","28","0","0","0","0","0","0","0"
"2012","3120","0","0","0","14","29","0","0","0"
"2013","11862","162","0","0","1","16","0","0","0"
"2014","13280","121","0","0","4","40","4","0","0"
"2016","15906","28","0","0","0","0","0","0","0"
"2016","10217","29","0","0","0","0","0","0","0"
"2016","15404","23","0","0","2","4","0","0","0"
"2016","16477","29","0","0","0","0","0","0","0"
"2014","3274","170","0","0","2","4","0","0","0"
"2013","3450","164","0","0","3","8","0","0","0"
"2015","11377","149","0","0","4","22","0","0","0"
"2013","6676","173","0","0","1","0","0","0","0"
"2014","13065","164","0","0","8","3","0","0","0"
"2016","13601","29","0","0","1","0","0","0","0"
"2013","6673","129","0","0","4","39","6","0","0"
"2016","15242","2","0","0","2","19","4","0","0"
"2014","13177","130","0","0","6","37","2","0","0"
"2016","14108","17","0","0","5","1","0","0","0"
"2016","15798","29","0","0","0","0","0","0","0"
"2012","3488","0","0","0","2","2","0","0","0"
"2013","11856","176","0","0","0","3","0","0","0"
"2015","15253","65","0","0","3","7","0","0","0"
"2015","14689","154","0","0","3","9","3","0","0"
"2015","14257","160","0","0","0","3","2","0","0"
"2016","11285","26","0","0","2","1","0","0","0"
"2016","6953","29","0","0","0","0","0","0","0"
"2015","12789","3","0","0","27","7","39","0","0"
"2016","11441","29","0","0","0","0","0","0","0"
"2016","15061","29","0","0","0","0","0","0","0"
"2014","3281","167","0","0","2","6","0","0","0"
"2014","6355","172","0","0","5","7","1","0","0"
"2015","6592","159","0","0","1","1","0","0","0"
"2012","3339","0","0","0","6","4","0","0","0"
"2014","11764","66","0","0","2","0","0","0","0"
"2013","2528","139","0","0","23","13","0","0","0"
"2013","10720","164","0","0","5","2","0","0","0"
"2014","11913","159","0","0","1","14","3","0","0"
"2014","13094","166","0","0","8","1","0","0","0"
"2016","16681","28","0","0","0","1","0","0","0"
"2015","15065","156","0","0","4","3","2","0","0"
"2016","16554","27","0","0","1","0","0","0","0"
"2015","7094","159","0","0","1","10","0","0","0"
"2013","7100","165","0","0","5","7","0","0","0"
"2014","3240","161","0","0","8","6","0","0","0"
"2016","11252","29","0","0","0","0","0","0","0"
"2016","6736","7","0","0","4","15","0","0","0"
"2013","11801","161","0","0","5","13","0","0","0"
"2014","12780","174","0","0","2","0","0","0","0"
"2013","3389","172","0","0","1","2","0","0","0"
"2015","3124","157","0","0","0","18","0","0","0"
"2015","15116","134","0","0","0","34","1","0","0"
"2013","6718","154","0","0","0","23","2","0","0"
"2016","16162","18","0","0","1","8","1","0","0"
"2016","6373","28","0","0","0","0","0","0","0"
"2015","14581","173","0","0","0","0","0","0","0"
"2013","10838","178","0","0","3","1","0","0","0"
"2014","11986","77","0","0","4","80","11","1","0"
"2015","13398","149","0","0","3","5","0","0","0"
"2015","13554","156","0","0","2","0","0","0","0"
"2015","11647","123","0","0","13","35","1","0","0"
"2016","13963","26","0","0","3","0","0","0","0"
